10,10,2,

00,00,00,00,00,00,00,00,00,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,17,17,17,17,17,17,17,17,00,
00,00,00,00,00,00,00,00,00,00,

1,02,02,02,02,02,02,02,02,06,
6,00,00,00,00,00,00,00,00,12,
6,00,00,00,00,00,00,00,15,12,
6,00,00,00,00,00,15,15,00,12,
6,00,00,00,00,15,00,00,00,12,
6,00,00,00,15,00,00,00,00,12,
6,15,15,00,00,00,00,00,00,12,
6,00,00,15,15,00,00,00,00,12,
6,00,00,00,00,15,15,00,00,12,
6,20,20,13,15,15,20,20,20,12,
